VPC,Genome,family
VPC-8, Siphoviridae
VPC-9, Siphoviridae
VPC-27, NULL
VPC-69, Siphoviridae
VPC-152, NULL
VPC-268, NULL
VPC-287, Siphoviridae
VPC-307, Siphoviridae
VPC-358, NULL
VPC-484, NULL
VPC-502, NULL
VPC-562, NULL
VPC-656, NULL
VPC-713, Siphoviridae
VPC-787, Siphoviridae
VPC-885, NULL
VPC-1219, Siphoviridae
VPC-1387, Siphoviridae
VPC-1589, Siphoviridae
VPC-1718, Myoviridae
VPC-1916, NULL
VPC-1988, Siphoviridae
VPC-2734, Siphoviridae
VPC-2755, Siphoviridae
VPC-3454, Myoviridae
VPC-3984, Siphoviridae
VPC-4196, NULL
VPC-4560, Siphoviridae
VPC-4562, NULL
VPC-4591, NULL
VPC-5791, NULL
VPC-5885, Siphoviridae
VPC-6766, Siphoviridae
VPC-7295, Siphoviridae
VPC-7371, NULL
VPC-7708, NULL
VPC-8016, Myoviridae
VPC-8327, Siphoviridae
VPC-8406, Siphoviridae
VPC-8543, NULL
VPC-11010, Siphoviridae
VPC-11167, NULL
VPC-11939, Podoviridae
VPC-12361, NULL
VPC-12417, NULL
VPC-13033, Siphoviridae
VPC-13307, Siphoviridae
VPC-13557, Siphoviridae
VPC-13707, NULL
VPC-13764, Siphoviridae
VPC-14655, Siphoviridae
VPC-14883, Siphoviridae
VPC-16128, Myoviridae
VPC-16679, Siphoviridae
VPC-17246, Siphoviridae
VPC-17652, NULL
VPC-17951, Siphoviridae
VPC-19138, NULL
VPC-19925, Siphoviridae
VPC-20126, NULL
VPC-20864, Siphoviridae
VPC-21199, Siphoviridae
VPC-21761, Siphoviridae
VPC-23094, NULL
VPC-23207, Siphoviridae
VPC-23996, NULL
VPC-24731, NULL
VPC-26704, NULL
VPC-27851, Siphoviridae
VPC-29313, NULL
VPC-30315, Siphoviridae
VPC-30484, NULL
VPC-30789, Siphoviridae
VPC-31863, Siphoviridae
VPC-32844, Siphoviridae
VPC-33319, Siphoviridae
VPC-33589, NULL
