
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0344041_100, VPC-562, Myoviridae
MGV-GENOME-0371241_21, VPC-69, Siphoviridae
MGV-GENOME-0329946_40, VPC-268, Siphoviridae
MGV-GENOME-0333758_21, VPC-7371, NULL
MGV-GENOME-0247456_13, VPC-9, NULL
MGV-GENOME-0285803_33, VPC-562, NULL
MGV-GENOME-0180857_25, VPC-1988, Siphoviridae
MGV-GENOME-0232322_43, VPC-19138, NULL
MGV-GENOME-0262088_58, VPC-68079, Siphoviridae
MGV-GENOME-0270072_24, VPC-656, NULL
MGV-GENOME-0203560_28, VPC-2734, Siphoviridae
MGV-GENOME-0201786_22, VPC-8, Siphoviridae
MGV-GENOME-0151147_23, VPC-787, Siphoviridae
MGV-GENOME-0331351_44, VPC-1964, NULL
MGV-GENOME-0337195_36, VPC-4196, NULL
MGV-GENOME-0297993_24, VPC-27, Myoviridae
MGV-GENOME-0270047_22, VPC-152, NULL
MGV-GENOME-0257766_14, VPC-1964, NULL
MGV-GENOME-0162179_23, VPC-287, NULL
MGV-GENOME-0136914_6, VPC-8, Siphoviridae
MGV-GENOME-0182820_21, VPC-1916, Siphoviridae
MGV-GENOME-0316974_31, VPC-885, Myoviridae
MGV-GENOME-0244599_37, VPC-67740, Siphoviridae
MGV-GENOME-0212803_22, VPC-8, Siphoviridae
MGV-GENOME-0148848_16, VPC-713, Siphoviridae
MGV-GENOME-0149324_12, VPC-9, Siphoviridae
MGV-GENOME-0295682_17, VPC-502, Myoviridae
MGV-GENOME-0292445_30, VPC-27, Myoviridae
MGV-GENOME-0192269_5, VPC-27, Myoviridae
MGV-GENOME-0259236_61, VPC-69, Siphoviridae
MGV-GENOME-0259137_29, VPC-287, NULL
MGV-GENOME-0313080_19, VPC-744, NULL
MGV-GENOME-0204764_13, VPC-9, Siphoviridae
MGV-GENOME-0125954_14, VPC-2755, Siphoviridae
MGV-GENOME-0176223_15, VPC-502, NULL
MGV-GENOME-0321141_39, VPC-656, Myoviridae
MGV-GENOME-0104780_3, VPC-8, Siphoviridae
MGV-GENOME-0194987_16, VPC-502, NULL
MGV-GENOME-0268491_28, VPC-4560, Siphoviridae
MGV-GENOME-0229552_23, VPC-885, NULL
MGV-GENOME-0329619_63, VPC-7371, NULL
MGV-GENOME-0283262_4, VPC-358, NULL
MGV-GENOME-0187080_20, VPC-283, Siphoviridae
MGV-GENOME-0275373_7, VPC-69, Siphoviridae
MGV-GENOME-0313927_16, VPC-152, NULL
MGV-GENOME-0185412_19, VPC-8327, Siphoviridae
MGV-GENOME-0197271_13, VPC-1988, Siphoviridae
MGV-GENOME-0331589_40, VPC-744, NULL
MGV-GENOME-0290694_15, VPC-562, NULL
MGV-GENOME-0326561_70, VPC-9, NULL
MGV-GENOME-0302571_2, VPC-484, NULL
MGV-GENOME-0269247_22, VPC-713, Siphoviridae
MGV-GENOME-0322240_3, VPC-9, NULL
MGV-GENOME-0345814_68, VPC-69, Siphoviridae
MGV-GENOME-0303758_46, VPC-744, NULL
MGV-GENOME-0270496_23, VPC-885, NULL
MGV-GENOME-0281991_31, VPC-307, NULL
MGV-GENOME-0235635_19, VPC-69, Siphoviridae
MGV-GENOME-0299746_69, VPC-502, Myoviridae
MGV-GENOME-0235591_24, VPC-6045, Siphoviridae
MGV-GENOME-0232805_28, VPC-1916, NULL
MGV-GENOME-0253843_59, VPC-69, Siphoviridae
MGV-GENOME-0304544_37, VPC-358, Siphoviridae
MGV-GENOME-0238066_16, VPC-502, NULL
MGV-GENOME-0303372_13, VPC-27, Myoviridae
MGV-GENOME-0221240_16, VPC-283, Siphoviridae
MGV-GENOME-4101898_9, VPC-2755, Siphoviridae
MGV-GENOME-0370190_132, VPC-3444, NULL
MGV-GENOME-4414646_4, VPC-885, Siphoviridae
MGV-GENOME-0187294_27, VPC-562, Myoviridae
MGV-GENOME-0368416_58, VPC-3444, NULL
MGV-GENOME-0126779_8, VPC-8, Siphoviridae
MGV-GENOME-0316869_35, VPC-27, Myoviridae
MGV-GENOME-0247210_34, VPC-787, Siphoviridae
MGV-GENOME-0243884_31, VPC-4560, Siphoviridae
MGV-GENOME-0292771_30, VPC-484, Myoviridae
MGV-GENOME-0153207_14, VPC-8, Siphoviridae
MGV-GENOME-0102212_9, VPC-2755, Siphoviridae
MGV-GENOME-0286778_44, VPC-287, NULL
MGV-GENOME-0191182_33, VPC-358, NULL
MGV-GENOME-0308884_37, VPC-268, NULL
MGV-GENOME-0185206_16, VPC-8, Siphoviridae
MGV-GENOME-0285619_39, VPC-656, Myoviridae
MGV-GENOME-0344692_50, VPC-24731, NULL
MGV-GENOME-0285737_13, VPC-9, NULL
MGV-GENOME-4413795_18, VPC-7371, NULL
MGV-GENOME-4424585_41, VPC-3454, Myoviridae
MGV-GENOME-0290711_21, VPC-152, Siphoviridae
MGV-GENOME-0301656_61, VPC-1718, Myoviridae
MGV-GENOME-0178799_11, VPC-287, NULL
MGV-GENOME-0331825_7, VPC-69, Siphoviridae
MGV-GENOME-0340917_51, VPC-27, NULL
MGV-GENOME-0299204_27, VPC-885, Myoviridae
MGV-GENOME-0309019_13, VPC-5147, Siphoviridae
MGV-GENOME-0305758_26, VPC-1219, Siphoviridae
MGV-GENOME-0183854_7, VPC-8, NULL
MGV-GENOME-0352644_44, VPC-152, NULL
MGV-GENOME-0260474_32, VPC-2734, Siphoviridae
MGV-GENOME-0205527_28, VPC-3454, NULL
MGV-GENOME-0242749_31, VPC-1916, Siphoviridae
MGV-GENOME-0317696_42, VPC-656, Myoviridae
MGV-GENOME-0169638_21, VPC-283, Siphoviridae
MGV-GENOME-0306939_11, VPC-69, Siphoviridae
MGV-GENOME-0276188_33, VPC-885, Myoviridae
MGV-GENOME-0219262_37, VPC-358, Siphoviridae
MGV-GENOME-0267043_31, VPC-8, NULL
MGV-GENOME-0224052_10, VPC-307, Siphoviridae
MGV-GENOME-0307695_15, VPC-484, NULL
MGV-GENOME-0349146_53, VPC-744, NULL
MGV-GENOME-0289471_28, VPC-268, Siphoviridae
MGV-GENOME-0291738_30, VPC-562, NULL
MGV-GENOME-0331026_30, VPC-9, NULL
MGV-GENOME-0205284_14, VPC-8, Siphoviridae
MGV-GENOME-0187041_4, VPC-562, Siphoviridae
MGV-GENOME-0318133_53, VPC-484, NULL
MGV-GENOME-0255988_44, VPC-69, Siphoviridae
MGV-GENOME-0205819_18, VPC-787, Siphoviridae
MGV-GENOME-0253601_39, VPC-69, Siphoviridae
MGV-GENOME-0339229_34, VPC-1589, NULL
MGV-GENOME-0348498_78, VPC-484, NULL
MGV-GENOME-0315015_7, VPC-27, Myoviridae
MGV-GENOME-0197716_15, VPC-656, Myoviridae
MGV-GENOME-0215927_21, VPC-69, Siphoviridae
MGV-GENOME-0281589_38, VPC-307, Siphoviridae
MGV-GENOME-0311676_34, VPC-27, Myoviridae
MGV-GENOME-0297203_55, VPC-744, NULL
MGV-GENOME-0287019_23, VPC-713, Siphoviridae
MGV-GENOME-0251744_38, VPC-8, Siphoviridae
MGV-GENOME-0242011_26, VPC-1916, Siphoviridae
MGV-GENOME-0324160_38, VPC-27, NULL
MGV-GENOME-0297164_32, VPC-27, Myoviridae
MGV-GENOME-0321679_22, VPC-9, NULL
MGV-GENOME-0074345_14, VPC-2755, Siphoviridae
MGV-GENOME-0331811_47, VPC-1964, NULL
MGV-GENOME-0288238_55, VPC-744, Siphoviridae
MGV-GENOME-0272285_15, VPC-27, Myoviridae
MGV-GENOME-0349716_34, VPC-484, NULL
MGV-GENOME-0375773_34, VPC-744, NULL
MGV-GENOME-0345335_80, VPC-484, NULL
MGV-GENOME-0295251_30, VPC-27, Myoviridae
MGV-GENOME-0310622_64, VPC-5147, NULL
MGV-GENOME-0335846_58, VPC-69, Siphoviridae
MGV-GENOME-0292348_23, VPC-27, Myoviridae
MGV-GENOME-0199609_22, VPC-307, Siphoviridae
MGV-GENOME-0357816_16, VPC-9, NULL
MGV-GENOME-0372738_65, VPC-69, Siphoviridae
MGV-GENOME-0222166_18, VPC-6045, Siphoviridae
MGV-GENOME-0276097_27, VPC-358, Siphoviridae
MGV-GENOME-0332948_37, VPC-8327, Siphoviridae
MGV-GENOME-0331729_46, VPC-152, NULL
MGV-GENOME-0269896_28, VPC-358, Siphoviridae
MGV-GENOME-0212423_9, VPC-1718, Myoviridae
MGV-GENOME-0229245_26, VPC-8, NULL
MGV-GENOME-0213911_11, VPC-27, Myoviridae
MGV-GENOME-0329623_77, VPC-9, NULL
MGV-GENOME-0196306_9, VPC-287, NULL
MGV-GENOME-0318847_55, VPC-152, NULL
MGV-GENOME-0166717_14, VPC-358, Siphoviridae
MGV-GENOME-0270211_45, VPC-787, Siphoviridae
MGV-GENOME-0214256_43, VPC-307, Siphoviridae
MGV-GENOME-0290273_37, VPC-27, Myoviridae
MGV-GENOME-0334211_33, VPC-152, NULL
MGV-GENOME-0193383_18, VPC-283, Siphoviridae
MGV-GENOME-0151366_4, VPC-283, Siphoviridae
MGV-GENOME-0207362_46, VPC-8, Siphoviridae
MGV-GENOME-0345384_14, VPC-9, NULL
MGV-GENOME-0212547_27, VPC-287, NULL
MGV-GENOME-0367080_31, VPC-744, Siphoviridae
MGV-GENOME-0306200_33, VPC-358, NULL
MGV-GENOME-0285088_34, VPC-1964, NULL
MGV-GENOME-0290573_47, VPC-744, NULL
MGV-GENOME-0301382_40, VPC-4560, Siphoviridae
MGV-GENOME-0232127_21, VPC-8, NULL
MGV-GENOME-0310776_31, VPC-27, Myoviridae
MGV-GENOME-0160026_7, VPC-5885, NULL
MGV-GENOME-0176617_18, VPC-787, Siphoviridae
MGV-GENOME-0343903_81, VPC-69, Siphoviridae
MGV-GENOME-0313257_32, VPC-268, NULL
MGV-GENOME-4429113_62, VPC-744, Siphoviridae
MGV-GENOME-0367163_82, VPC-11167, NULL
MGV-GENOME-0181767_10, VPC-8, Siphoviridae
MGV-GENOME-0299757_52, VPC-484, NULL
MGV-GENOME-0173922_21, VPC-562, Myoviridae
MGV-GENOME-0229801_22, VPC-8, NULL
MGV-GENOME-0268961_17, VPC-9, NULL
MGV-GENOME-0347661_17, VPC-484, NULL
MGV-GENOME-0296560_48, VPC-9, NULL
MGV-GENOME-0169957_14, VPC-3454, NULL
MGV-GENOME-0236954_27, VPC-8, NULL
MGV-GENOME-4418768_60, VPC-9, NULL
MGV-GENOME-0207064_35, VPC-27, Myoviridae
MGV-GENOME-0276584_30, VPC-562, NULL
MGV-GENOME-4391084_12, VPC-46980, NULL
MGV-GENOME-0284466_37, VPC-268, NULL
MGV-GENOME-4340503_4, VPC-283, Siphoviridae
MGV-GENOME-0123571_20, VPC-8016, Myoviridae
MGV-GENOME-0359399_111, VPC-13707, NULL
MGV-GENOME-0172852_20, VPC-307, NULL
MGV-GENOME-0303091_35, VPC-885, Myoviridae
MGV-GENOME-0181512_15, VPC-787, Siphoviridae
MGV-GENOME-0216088_27, VPC-1718, Myoviridae
MGV-GENOME-0239864_9, VPC-7708, NULL
MGV-GENOME-0216648_12, VPC-268, NULL
MGV-GENOME-0211881_18, VPC-656, Myoviridae
MGV-GENOME-0255760_19, VPC-26704, NULL
MGV-GENOME-0252384_24, VPC-307, NULL
MGV-GENOME-0275933_25, VPC-885, NULL
MGV-GENOME-0203405_21, VPC-307, Siphoviridae
MGV-GENOME-0310528_4, VPC-5147, NULL
MGV-GENOME-0331084_75, VPC-69, Siphoviridae
MGV-GENOME-0367295_116, VPC-3444, NULL
MGV-GENOME-0175100_11, VPC-283, Siphoviridae
MGV-GENOME-0187083_28, VPC-8, NULL
MGV-GENOME-0298686_11, VPC-9, Siphoviridae
MGV-GENOME-0172359_23, VPC-9, NULL
MGV-GENOME-0159856_2, VPC-3454, Myoviridae
MGV-GENOME-0198880_28, VPC-33589, NULL
MGV-GENOME-0250892_39, VPC-152, NULL
MGV-GENOME-0140876_10, VPC-8, Siphoviridae
MGV-GENOME-0319157_82, VPC-69, Siphoviridae
MGV-GENOME-0209396_45, VPC-6766, NULL
MGV-GENOME-0257123_3, VPC-787, Siphoviridae
MGV-GENOME-0337553_16, VPC-502, NULL
MGV-GENOME-0254347_34, VPC-358, Siphoviridae
MGV-GENOME-0159772_18, VPC-287, NULL
MGV-GENOME-0175042_18, VPC-9, Siphoviridae
MGV-GENOME-0250276_26, VPC-8, NULL
MGV-GENOME-0245251_18, VPC-283, Siphoviridae
MGV-GENOME-0064394_12, VPC-20126, Siphoviridae
MGV-GENOME-0323504_46, VPC-152, Siphoviridae
MGV-GENOME-0236484_2, VPC-307, Siphoviridae
MGV-GENOME-0268505_39, VPC-358, Siphoviridae
MGV-GENOME-0272543_29, VPC-287, NULL
MGV-GENOME-0173435_11, VPC-21761, NULL
MGV-GENOME-0277485_23, VPC-307, NULL
MGV-GENOME-0231814_11, VPC-8, NULL
MGV-GENOME-0255792_14, VPC-268, Siphoviridae
MGV-GENOME-0350907_43, VPC-9, NULL
MGV-GENOME-0313822_22, VPC-283, Siphoviridae
MGV-GENOME-0323204_36, VPC-152, NULL
MGV-GENOME-0307902_43, VPC-69, Siphoviridae
MGV-GENOME-0302565_23, VPC-1964, NULL
MGV-GENOME-0290116_48, VPC-27, Myoviridae
MGV-GENOME-0306013_24, VPC-9, Siphoviridae
MGV-GENOME-0237926_30, VPC-17652, NULL
MGV-GENOME-0359554_44, VPC-152, NULL
MGV-GENOME-0133422_3, VPC-1916, Myoviridae
MGV-GENOME-0296137_41, VPC-502, Myoviridae
MGV-GENOME-0250497_24, VPC-744, Siphoviridae
MGV-GENOME-0146394_22, VPC-1387, Siphoviridae
MGV-GENOME-0308289_26, VPC-283, Siphoviridae
MGV-GENOME-0299491_37, VPC-307, Siphoviridae
MGV-GENOME-0203514_33, VPC-502, NULL
MGV-GENOME-0229006_11, VPC-1964, NULL
MGV-GENOME-0346777_69, VPC-69, Siphoviridae
MGV-GENOME-0203876_30, VPC-885, Myoviridae
MGV-GENOME-0338292_26, VPC-69, Siphoviridae
MGV-GENOME-0293689_36, VPC-268, NULL
MGV-GENOME-0337037_65, VPC-69, Siphoviridae
MGV-GENOME-0237151_28, VPC-1988, Siphoviridae
MGV-GENOME-0221802_10, VPC-9, NULL
MGV-GENOME-0223526_16, VPC-8, NULL
MGV-GENOME-0306546_58, VPC-13764, Siphoviridae
MGV-GENOME-0174040_6, VPC-1718, Myoviridae
MGV-GENOME-0249167_20, VPC-26704, Siphoviridae
MGV-GENOME-0210665_36, VPC-268, NULL
MGV-GENOME-0261735_27, VPC-287, NULL
MGV-GENOME-0312180_45, VPC-885, Myoviridae
MGV-GENOME-0371684_41, VPC-484, NULL
MGV-GENOME-4424318_5, VPC-885, Myoviridae
MGV-GENOME-0307506_24, VPC-27, Myoviridae
MGV-GENOME-0309505_31, VPC-1718, Myoviridae
MGV-GENOME-0141539_25, VPC-502, NULL
